SessionId,Probability
1,5.581975e-05
2,5.185604e-06
3,0.0008600056
4,0.042408198
5,1.6540289e-05
6,3.159046e-05
7,0.00012660027
8,5.9962273e-05
9,0.032934785
10,2.7388334e-05
11,0.013608217
12,0.00030124187
13,0.00044766068
14,0.00028806925
15,0.0053545535
16,6.633997e-05
17,5.9962273e-05
18,0.0032440722
19,2.5689602e-05
20,5.1528215e-05
21,0.00065535307
22,0.0002886653
23,4.172325e-05
24,0.0025718808
25,3.5136938e-05
26,0.018936634
27,2.2232533e-05
28,5.3584576e-05
29,0.011204898
30,0.0037748218
31,3.606081e-06
32,5.0842762e-05
33,0.0052140355
34,5.465746e-05
35,6.633997e-05
36,0.0018711686
37,0.00012657046
38,8.98242e-05
39,0.00012379885
40,4.1007996e-05
41,0.0007814765
42,4.7683716e-07
43,3.6507845e-05
44,0.0015054643
45,3.993511e-06
46,3.0994415e-06
47,2.861023e-05
48,2.1368265e-05
49,0.00029459596
50,0.00031784177
51,0.00049105287
52,0.0003118813
53,0.0007199347
54,2.4139881e-05
55,1.0281801e-05
56,0.0010273457
57,0.0005965829
58,0.008469969
59,0.00026354194
60,0.00091153383
61,0.00013250113
62,0.00017440319
63,0.0002759695
64,0.06283161
65,5.6654215e-05
66,7.173419e-05
67,5.9962273e-05
68,1.7851591e-05
69,6.771088e-05
70,1.3023615e-05
71,0.00058189034
72,5.7309866e-05
73,1.1265278e-05
74,4.7683716e-07
75,5.722046e-05
76,2.0176172e-05
77,0.00013589859
78,0.000118523836
79,3.6120415e-05
80,0.013221264
81,9.381771e-05
82,7.4237585e-05
83,0.00027868152
84,2.3186207e-05
85,7.417798e-05
86,0.00031846762
87,0.00066646934
88,3.0577183e-05
89,0.000182271
90,0.03376931
91,2.503395e-06
92,7.0273876e-05
93,0.0054112077
94,0.00046688318
95,3.874302e-06
96,0.00011706352
97,0.00026601553
98,6.914139e-05
99,7.44462e-05
100,0.0004300475
101,3.629923e-05
102,0.004961878
103,3.927946e-05
104,0.00014558434
105,4.389882e-05
106,5.3226948e-05
107,0.00013417006
108,0.00018692017
109,4.7266483e-05
110,0.006090522
111,0.005827248
112,0.05941826
113,0.00015246868
114,0.00010803342
115,1.758337e-06
116,2.2381544e-05
117,7.888675e-05
118,0.0001898408
119,5.5134296e-06
120,0.07101497
121,0.002469033
122,0.00031086802
123,4.8846006e-05
124,6.7830086e-05
125,3.6746264e-05
126,2.9563904e-05
127,0.00015199184
128,0.0037172735
129,8.395314e-05
130,0.0007175207
131,0.001214534
132,0.0035160482
133,0.0040990114
134,0.000538826
135,1.4334917e-05
136,1.7911196e-05
137,5.9962273e-05
138,0.0014782846
139,2.5302172e-05
140,2.5510788e-05
141,0.0003118217
142,0.00014457107
143,4.6908855e-05
144,1.2397766e-05
145,3.159046e-05
146,0.0035891235
147,0.0035678148
148,3.2812357e-05
149,0.00065147877
150,7.927418e-06
151,0.005150616
152,0.00023043156
153,0.0007225871
154,0.0006970763
155,0.00029575825
156,0.00028681755
157,0.0008889735
158,0.20836136
159,0.00017780066
160,0.00018796325
161,0.0015815496
162,1.1503696e-05
163,0.00039321184
164,1.6987324e-06
165,3.4958124e-05
166,0.00049239397
167,0.0006709397
168,5.8352947e-05
169,0.0005518198
170,0.0031807423
171,5.0842762e-05
172,0.00011372566
173,9.584427e-05
174,0.12508985
175,5.5134296e-05
176,0.0013287663
177,1.5318394e-05
178,2.026558e-05
179,0.03177747
180,0.0007854104
181,7.18832e-05
182,0.0071050823
183,0.00018242002
184,0.32915083
185,0.0006890893
186,0.005211532
187,0.00013032556
188,5.722046e-06
189,5.8591366e-05
190,3.6269426e-05
191,0.00013622642
192,0.0002834797
193,3.552437e-05
194,0.0002567768
195,0.00032061338
196,0.08099982
197,1.0460615e-05
198,6.118417e-05
199,0.0003081262
200,0.0006567836
201,0.00015845895
202,6.812811e-05
203,0.00021877885
204,8.5026026e-05
205,3.2365322e-05
206,0.000872463
207,0.00013503432
208,0.00046166778
209,0.0026610494
210,0.00020045042
211,0.00016376376
212,9.000301e-06
213,0.00022596121
214,0.0003503859
215,0.0013343692
216,0.22121096
217,4.887581e-06
218,0.0070892274
219,0.00011795759
220,0.0002527535
221,0.0010761917
222,0.0034631789
223,0.00019279122
224,2.4676323e-05
225,1.5497208e-05
226,5.4061413e-05
227,2.3752451e-05
228,0.059517145
229,5.722046e-05
230,5.4955482e-05
231,0.00020974874
232,2.5242567e-05
233,9.149313e-05
234,0.0010552406
235,1.3381243e-05
236,9.9390745e-05
237,2.1845102e-05
238,0.00043311715
239,7.8469515e-05
240,0.0003734529
241,2.5868416e-05
242,0.00017824769
243,0.011360437
244,0.004964769
245,0.0003491938
246,2.7656555e-05
247,2.1964312e-05
248,0.079625994
249,0.00052830577
250,0.00029581785
251,6.41644e-05
252,3.1888485e-06
253,0.00011688471
254,6.875396e-05
255,0.00026354194
256,0.000482589
257,0.0009150803
258,0.0009160042
259,0.00033316016
260,7.05719e-05
261,0.00041925907
262,0.00041785836
263,7.009506e-05
264,0.001059413
265,7.8976154e-05
266,0.00065743923
267,0.117875755
268,0.00022083521
269,4.3541193e-05
270,1.7136335e-05
271,8.7976456e-05
272,0.00080260634
273,8.755922e-05
274,5.185604e-06
275,5.6743622e-05
276,0.00012594461
277,0.0002708733
278,0.00050610304
279,0.038144946
280,4.9710274e-05
281,8.460879e-05
282,2.0861626e-05
283,0.0016032457
284,0.00037145615
285,2.7924776e-05
286,0.00019076467
287,6.839633e-05
288,6.878376e-05
289,8.484721e-05
290,0.00026276708
291,0.0052761734
292,0.0003209114
293,0.04603067
294,4.848838e-05
295,1.7821789e-05
296,0.0021172464
297,6.479025e-05
298,5.298853e-05
299,9.11057e-05
300,8.663535e-05
301,0.0021979213
302,4.518032e-05
303,1.2814999e-05
